Title;Year;Rated;Released;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;Poster;Internet Movie Database;Rotten Tomatoes;Metascore;imdbRating;imdbVotes;imdbID;Type;DVD;BoxOffice;Production;Website;Response;Win;Metacritic;Nomination;Oscar
The World's Fastest Indian;2005;PG-13;24.Mar.06;127 min;Biography, Drama, Sport;Roger Donaldson;Roger Donaldson;Anthony Hopkins, Diane Ladd, Iain Rea;For twenty-five years in Invercargill, New Zealand, Burt Munro (1899-1978) has been working on increasing the speed of his motorcycle, a 1920 Indian. He dreams of taking it to the Bonneville Salt Flats to see how fast it will go. By the early 1960s, heart disease threatens his life, so he mortgages his house and takes a boat to Los Angeles, buys an old car, builds a makeshift trailer, gets the Indian through customs, and heads for Utah. Along the way, people he meets are charmed by his open, direct friendliness. If he makes it to Bonneville, will they let an old guy on the flats with makeshift tires, no brakes, and no chute? And will the Indian actually respond?;English;New Zealand, Japan, United States;https://m.media-amazon.com/images/M/MV5BMjE1MjA0MDA3MV5BMl5BanBnXkFtZTcwOTU0MjMzMQ@@._V1_SX300.jpg;7.08.2010;0,82;68;78;53,645;tt0412080;movie;13 Jun 2006;$5,128,124;N/A;N/A;DOÐRU;11;68/100;6;
Mrs. Palfrey at the Claremont;2005;Not Rated;15.May.08;108 min;Comedy, Drama;Dan Ireland;Martin Donovan, Dan Ireland, Ruth Sacks;Joan Plowright, Rupert Friend, Zoë Tapper;Mrs. Palfrey (Dame Joan Plowright), recently widowed after a long happy marriage, moves into a London residential hotel more lively and elegant on-line than in fact. She determines to make the best of it amongst an odd assortment of people, and she particularly hopes her grandson, a London resident, will visit. When she slips on a walk and is aided by penniless young writer Ludo (Rupert Friend), she invites him to dine at the Claremont and plays along when her dining mates assume he's her grandson. A friendship develops giving her a companion with whom she can talk about memories and poetry and giving him ideas and support for his writing. But what of her actual family? How it plays out is the movie's story.;English;United Kingdom, United States;https://m.media-amazon.com/images/M/MV5BZGQ4MGJiN2ItZWUwNi00NGE0LTk2NDQtZmFmOWM1Y2JmOThkXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg;7.06.2010;0,7;67;76;3,319;tt0421229;movie;26 Jan 2010;$1,720,953;N/A;N/A;DOÐRU;3;67/100;2;
Copying Beethoven;2006;PG-13;8.Mar.07;104 min;Biography, Drama, Music;Agnieszka Holland;Stephen J. Rivele, Christopher Wilkinson;Ed Harris, Diane Kruger, Matthew Goode;Vienna, 1824. In the days before the first performance of the Ninth Symphony, Beethoven needs help with copying out the charts, so a promising student of composition, Anna Holtz, 23, is sent to assist him. She not only aids the transcription of the notes, she provides guidance from the orchestra pit as Beethoven conducts the work's debut. During the next two years, the final ones of Beethoven's life, Anna provides assistance to the deaf, temperamental, ailing man. In return, he tutors her in composition and explains to her the ideas and principles of Romanticism. He tries to speak for God.;English;United States, Germany, Hungary;https://m.media-amazon.com/images/M/MV5BNTIyNDk5MjE0N15BMl5BanBnXkFtZTcwOTMxNTkzMQ@@._V1_SX300.jpg;6.08.2010;0,28;59;68;13,432;tt0424908;movie;03 Apr 2007;$384,029;N/A;N/A;DOÐRU;2;59/100;5;
Gönül Yarasi;2005;N/A;07 Jan 2005;142 min;Drama;Yavuz Turgul;Yavuz Turgul;Meltem Cumbul, Sener Sen, Timuçin Esen;Idealist Nazim returns home to his family in Istanbul after a 15-year gap away teaching in a remote Kurdish village in eastern Turkey. Becoming a taxi driver he meets a single mother who works in a sleazy club and becomes embroiled in her plight - a troublesome ex-husband who won't leave her alone - and starts to fall in love with her.;Turkish;Turkey;https://m.media-amazon.com/images/M/MV5BMjE2NDI4NDAwNV5BMl5BanBnXkFtZTcwNTc5MTA0MQ@@._V1_SX300.jpg;7.08.2010;;N/A;78;9,832;tt0425079;movie;N/A;N/A;N/A;N/A;DOÐRU;10;;9;
Les petits fils;2004;N/A;17 Nov 2004;84 min;Comedy, Drama;Ilan Duran Cohen;Ilan Duran Cohen;Reine Ferrato, Guillaume Quatravaux, Jean-Philippe Sêt;"The Grand Sons shows how a grandmother deals with her most beloved gay grandson, his lover, &amp; a handsome new gay housekeeper that vies for Her attention. Could the housekeeper be the catalyst for a family reunion.";French;France;https://m.media-amazon.com/images/M/MV5BMjA0Njk5ODg2Nl5BMl5BanBnXkFtZTcwNzM1NjAzMQ@@._V1_SX300.jpg;6.0/10;;N/A;60;165;tt0427662;movie;N/A;N/A;N/A;N/A;DOÐRU;1;;;
Die Höhle des gelben Hundes;2005;G;28 Jul 2005;93 min;Drama, Family;Byambasuren Davaa;Abel Cantou, Byambasuren Davaa, Michael P. Greco;Batchuluun Urjindorj, Buyandulam Daramdadi, Nansal Batchuluun;The little nomad girl Nansal finds a baby dog in the Mongolian veld, who becomes her best friend - against all rejections of her parents. A story about a Mongolian family of nomads - their traditional way of life and the rising call of the City.;Mongolian;Germany, Mongolia;https://m.media-amazon.com/images/M/MV5BZjdlZmZiYmMtOGY5ZC00ZDkwLWFkNGYtMWY3OTQyOTYzNmY0XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg;7.06.2010;0,9;73;76;3,216;tt0432325;movie;13 Feb 2007;$141,803;N/A;N/A;DOÐRU;9;73/100;2;
Keeping Mum;2005;R;06 Oct 2006;99 min;Comedy, Crime;Niall Johnson;Richard Russo, Niall Johnson;Rowan Atkinson, Kristin Scott Thomas, Maggie Smith;"Walter Goodfellow (Rowan Atkinson), the vicar for the small English country parish of Little Wallop, has let his marriage to Gloria (Kristin Scott Thomas) go stale, and he is so detached from his family that he has not taken notice that his seventeen-year-old daughter Holly (Tamsin Egerton) is going through a succession of relationships with unsuitable boyfriends, and his son Petey (Toby Parkes) fears going to school, owing to being bullied. Out of desperation for affection, Gloria begins to fall for the advances of Lance (Patrick Swayze), an American golf pro who is giving her ""private"" lessons. The problems upsetting the family start to fade away after Grace Hawkins (Dame Maggie Smith), the new housekeeper, arrives and starts tending to matters as an older, and rather darkly mysterious version of Mary Poppins (1964).";English;United Kingdom, United States, Isle of Man;https://m.media-amazon.com/images/M/MV5BNTA4OTc2MDc4Nl5BMl5BanBnXkFtZTYwNjUyODY2._V1_SX300.jpg;6.08.2010;0,57;53;68;34,152;tt0444653;movie;20 Feb 2007;$1,619,466;N/A;N/A;DOÐRU;1;53/100;5;
Driving Lessons;2006;PG-13;13 Oct 2006;98 min;Comedy, Drama;Jeremy Brock;Jeremy Brock;Rupert Grint, Laura Linney, Julie Walters;A coming of age story about a shy teenage boy trying to escape from the influence of his domineering mother. His world changes when he begins to work for a retired actress.;English;United Kingdom;https://m.media-amazon.com/images/M/MV5BMTg4NzE5MDE3Ml5BMl5BanBnXkFtZTcwMDgxNjgzMQ@@._V1_SX300.jpg;6.07.2010;0,48;56;67;10,763;tt0446687;movie;03 Jul 2007;$239,962;N/A;N/A;DOÐRU;4;56/100;5;
Quinceañera;2006;R;05 Jul 2006;90 min;Drama;Richard Glatzer, Wash Westmoreland;Richard Glatzer, Wash Westmoreland;Emily Rios, Jesse Garcia, Chalo González;Magdalena is 14 and anxiously awaiting her 15th birthday where she'll celebrate her quinceañera. Her world starts to crumble when she discovers her pregnancy after not being able to fit in her gown for her quinceañera. Soon, she's kicked out of her home, abandoned by her family, and abandoned by her baby's father. Magdalena is then taken in by her great-granduncle, Tomas and her gay, often-in-trouble cousin, Carlos. There she finds a new family and life.;Spanish, English;United States;https://m.media-amazon.com/images/M/MV5BMTk0NzExMzU3Ml5BMl5BanBnXkFtZTcwNDQ5NTMzMQ@@._V1_SX300.jpg;7.0/10;0,86;72;70;4,146;tt0451176;movie;09 Jan 2007;$1,692,693;N/A;N/A;DOÐRU;7;72/100;12;
The Violin;2005;Not Rated;27 Apr 2007;98 min;Drama, Music;Francisco Vargas;Francisco Vargas;Ángel Tavira, Gerardo Taracena, Dagoberto Gama;In an unnamed Latin American country that closely resembles Mexico, the government fights a rural insurgency with torture, assault, rape, and murder. Soldiers descend on a town, cutting off the rebels from their cache of ammunition hidden in a field. A family of grandfather, son, and grandson are among the rebels in the hills. The grandfather, with his violin over his shoulder, tries to pass the checkpoint, ostensibly to tend his corn crop. The commanding officer lets him pass but insists on a daily music lesson. Can the old man ferry out the ammunition in his violin case under the soldiers' nose?;Spanish;Mexico;https://m.media-amazon.com/images/M/MV5BMTk5NDkyMDI4NV5BMl5BanBnXkFtZTcwMTgxMjQ3Mg@@._V1_SX300.jpg;7.07.2010;0,94;N/A;77;2,47;tt0451966;movie;01 Apr 2008;$65,298;N/A;N/A;DOÐRU;30;;11;
Elsa y Fred;2005;PG;28 Jul 2005;108 min;Comedy, Drama, Romance;Marcos Carnevale;Marcos Carnevale, Marcela Guerty, Lily Ann Martin;Manuel Alexandre, China Zorrilla, Blanca Portillo;When retired seventy-seven years old hypochondriac widower Fred moves to an apartment in Madrid, his temperamental daughter Cuca has an incident with his next-door neighbor, the elder Argentinian Elsa. Later, they meet each other and Elsa conquers Fred's heart with her reckless behavior and view of life.;Spanish, Italian, English;Argentina, Spain;https://m.media-amazon.com/images/M/MV5BMTQxMTAzNDA4NV5BMl5BanBnXkFtZTcwOTQ2MTU0MQ@@._V1_SX300.jpg;7.05.2010;0,55;52;75;3,372;tt0453047;movie;20 Jan 2009;$189,024;N/A;N/A;DOÐRU;9;52/100;7;
The Death of Mr. Lazarescu;2005;R;22 Sep 2005;153 min;Comedy, Drama;Cristi Puiu;Cristi Puiu, Razvan Radulescu;Doru Ana, Monica Barladeanu, Alina Berzunteanu;Mr. Lazarescu, a 63 year old lonely man feels sick and calls the ambulance. When it arrives, the paramedic decides he should take him to the hospital but once there they decide to send him to another hospital and then yet another... As the night unfolds and they can't find a hospital for Mr. Lazarescu, his health starts to deteriorate fast.;Romanian;Romania;https://m.media-amazon.com/images/M/MV5BMTcxNDk3MTQ3OF5BMl5BanBnXkFtZTcwODgwODczMQ@@._V1_SX300.jpg;7.09.2010;0,93;86;79;14,614;tt0456149;movie;19 Sep 2006;$80,301;N/A;N/A;DOÐRU;30;86/100;14;
The Bow;2005;Not Rated;12.May.05;90 min;Drama, Romance;Kim Ki-duk;Kim Ki-duk;Yeo-reum Han, Ji-Seok Seo, Jeon Gook-hwan;A sixty and something year old captain has been raising for ten years a girl since she was six in his old fishing vessel that is permanently anchored offshore with the intention of marrying her on her seventeenth birthday. He survives bringing fishermen to fish in the vessel and predicting the future using his bow and shooting arrows in a Buddhist painting on the hull of the vessel while the girl moves back and forth in a swing. He also uses the bow and arrows to protect the girl against sexual assault of the fishermen. They live happily until the day that a teenage student comes to the ship and the girl feels attracted to him. When the teenager discovers that the girl was abducted when she was six and does not know the world, he returns to the vessel to bring the girl back to her parents.;Korean;South Korea, Japan;https://m.media-amazon.com/images/M/MV5BMTQzMDE4MzM4NV5BMl5BanBnXkFtZTcwOTMyNzYzMQ@@._V1_SX300.jpg;7.01.2010;0,86;N/A;71;11,15;tt0456470;movie;26 Jun 2007;N/A;N/A;N/A;DOÐRU;2;;3;
Juventude em Marcha;2006;Not Rated;23 Nov 2006;156 min;Drama;Pedro Costa;Pedro Costa;Ventura, Vanda Duarte, Beatriz Duarte;After the Portuguese government demolishes his slum and relocates him to a housing project on the outskirts of Lisbon, 75-year-old Cape Verde immigrant Ventura wanders between his new and old homes, reconnecting with people from his past. (from Wikipedia);Kabuverdianu, Portuguese;Portugal, France, Switzerland;https://m.media-amazon.com/images/M/MV5BM2QzNTUwYzItMWJjMi00ZDdjLWFiNmYtMTMwY2U2NzU5ZTE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;7.0/10;0,86;N/A;70;1,584;tt0460480;movie;N/A;N/A;N/A;N/A;DOÐRU;2;;7;
Bonneville;2006;PG;29 Feb 2008;93 min;Comedy, Drama;Christopher N. Rowley;Daniel D. Davis, Christopher N. Rowley;Jessica Lange, Kathy Bates, Joan Allen;"The distressed emotions that Arvilla Holden are feeling upon the death of her husband Joe Holden are compounded by dealing with Joe's adult daughter, Francine Packer. Joe and Arvilla were lovingly married for twenty years, and although they lived in Pocatello, Idaho - Arvilla's home town - they traveled the world on one adventure after another. Joe was from Santa Barbara, California, where Francine and the extended Holden family still live. Arvilla is certain that Joe wrote a new will after they got married, but since that will is nowhere to be found, the official will is the one that Francine has in her possession, which outlines certain things that Arvilla knows Joe would not now have wanted. That will states that Joe's embalmed body is to be interned with Francine's mother in Santa Barbara, despite Joe already having been cremated. Arvilla knows that Joe would have wanted his ashes scattered into the wind. The will also deeds the house in which Arvilla and Joe lived their entire marriage to Francine, which would leave Arvilla not only homeless, but shut out of the house in which she has strong and loving memories. Francine offers a settlement with Arvilla: Joe's ashes for the house. Arvilla reluctantly agrees. Arvilla plans on bringing the ashes to the memorial service in Santa Barbara in one week's time, accompanied by her two best friends, free wheeling and single Margene Cunningham, and ""perfect"" mom Carol Brimm, all three women being Mormon of varying devotion. The plan is to drive the three hours from Pocatello to Salt Lake City, Utah, to catch a flight to Santa Barbara. But upon their departure from Pocatello in Joe's refurbished Pontiac Bonneville convertible, Arvilla takes the three on a road trip instead to all the places she and Joe loved en route to Santa Barbara. This trip gives Arvilla time to decide ultimately what she will do regarding her deal with Francine, which is affected by her time with Margene and Carol, and by encounters they have with people they meet along the way, most specifically a young man named Bo who is on a search for his biological father who he has never met, and a long haul trucker named Emmett.";English;United States;https://m.media-amazon.com/images/M/MV5BMzI4NDM0NDk5N15BMl5BanBnXkFtZTcwNDMyMzU1MQ@@._V1_SX300.jpg;6.01.2010;0,41;46;61;2,67;tt0487195;movie;24 Jun 2008;$488,393;N/A;N/A;DOÐRU;;46/100;;
Verfolgt;2006;N/A;04 Jan 2007;87 min;Drama;Angelina Maccarone;Susanne Billig;Kostja Ullmann, Maren Kroymann, Moritz Grove;Angelina Maccarone's intense drama deals with the obsessive relationship between a confused teenager and an elder woman. Elsa Seifert successfully works as probation officer, but the relationship to her longtime companion is in trouble since their common daughter moved out. Then she gets to know Jan, a 16-years-old offender, who frankly offers to submit himself sexually to her. Although being shocked in the beginning, Elsa gets more and more attracted by the young man...;German;Germany;https://m.media-amazon.com/images/M/MV5BYzM4Yzc1ZWEtZjdmNC00MmQxLWI2NzktMTJiM2RkNTY5YmFiXkEyXkFqcGdeQXVyMzA3Njg4MzY@._V1_SX300.jpg;6.06.2010;;N/A;66;544;tt0488903;movie;N/A;N/A;N/A;N/A;DOÐRU;3;;;
Venus;2006;R;16 Feb 2007;95 min;Comedy, Drama, Romance;Roger Michell;Hanif Kureishi;Peter O'Toole, Jodie Whittaker, Leslie Phillips;Maurice Russell, once a great actor, is now living in London in the twilight of his life. Those of his generation remember him fondly, while those in the younger generations have no idea who he is. He spends most of his time hanging out with his friends Ian, also an actor, and Donald, or visiting with his wife Valerie for who he has great affection but with who he no longer lives. His acting career is virtually over, he only taking roles on the odd occasion when he needs the money. Ian has decided to invite his young great-niece Jessie from the provinces to come and stay with him, basically to act as his caregiver in case he falls ill, but also to be his companion. He envisions listening to Bach with her and her cooking him food to which he is accustomed. Jessie's stay is nothing as he envisions. She doesn't know how to cook, she drinks all his alcohol, and she has unrealistic visions of what she will accomplish in her life. Maurice, however, sees in Jessie, a person who can help him recapture part of his youth and vigor, including more fully realizing his thoughts of sex. Maurice calls her Venus, after one of his favorite paintings. As Maurice and Jessie spend more time together, they use each other to get what they want. But it isn't until Maurice approaches the end of his life will either understand if what they have is true friendship.;English;United Kingdom;https://m.media-amazon.com/images/M/MV5BMTQ1ODQ4MDg0OV5BMl5BanBnXkFtZTcwOTk5NDQ0MQ@@._V1_SX300.jpg;7.01.2010;0,88;82;71;12,874;tt0489327;movie;22.May.07;$3,347,411;N/A;N/A;DOÐRU;4;82/100;21;1
Away from Her;2006;PG-13;25.May.07;110 min;Drama;Sarah Polley;Sarah Polley, Alice Munro;Julie Christie, Michael Murphy, Gordon Pinsent;Grant and Fiona Anderson have been married for forty-four years. Their marriage has been a generally happy and loving one although not perfect due to some indiscretions when Grant was working as a college professor. Fiona has just been admitted to Meadowlake, a long term care facility near their country home in southwestern Ontario, because her recent lapses of memory have been diagnosed as a probable case of Alzheimer's disease. She and Grant made this decision together, although a still lucid Fiona seems to have made peace with the decision and her diagnosis more so than Grant. With respect to the facility, what Grant has the most difficulty with are what he sees as the sadness associated with the facility's second floor - where the more advanced cases are housed - but most specifically the facility's policy of no visitors within the first thirty days of admission to allow the patient to adjust more easily to their new life there. Based on what he sees when he is finally able to visit Fiona, Grant ultimately makes a request of Marian Barque, the wife of one of the other patients, a semi-comatose Aubrey Barque, with whom Fiona has struck a friendship and who is now at home permanently with Marian. The request is to see to both Fiona and his own happiness in this unfortunate situation.;English;Canada, United Kingdom, United States;https://m.media-amazon.com/images/M/MV5BMjExMzgyOTUyNF5BMl5BanBnXkFtZTcwNTUzMDg0MQ@@._V1_SX300.jpg;7.05.2010;0,94;88;75;21,922;tt0491747;movie;11 Sep 2007;$4,571,521;N/A;N/A;DOÐRU;62;88/100;42;2
Irina Palm;2007;R;18 Apr 2007;103 min;Drama;Sam Garbarski;Philippe Blasband, Martin Herron;Marianne Faithfull, Predrag 'Miki' Manojlovic, Kevin Bishop;"Maggie, a 60-year-old widow, desperately needs some money to pay for a medical treatment for her ill grandson, Olly. After one attempt at trying to find a job, she finds herself roaming the streets of London Soho. Her eye is caught by a small poster in the window of a shop called ""Sexy World"" which reads: ""Hostess wanted"". Too desperate and lost to realize what she does she enters. Micky, the owner, is embarrassed at first, but intrigued by Maggie, he decides to have fun and offers her the job. Her colleague, Luisa, shows her how to give a hand-job through hole in a wall (glory hole) and after the first hesitation, she quickly develops good skills. She uses Irina Palm as her stage name. However, she keeps her work secret from friends and family, which leads to uncomfortable situations. She, who applies herself in order to keep her job, fascinates Mickey.";English;Belgium, Germany, Luxembourg, United Kingdom, France;https://m.media-amazon.com/images/M/MV5BZjgwZDI4NTItNWU2MS00YTIzLTgyYjMtNGNhODhmNGZlMDU1XkEyXkFqcGdeQXVyMjQ0NzUzODI@._V1_SX300.jpg;7.02.2010;0,67;55;72;7,335;tt0762110;movie;12 Aug 2008;$44,383;N/A;N/A;DOÐRU;7;55/100;7;
L'amico di famiglia;2006;N/A;10 Nov 2006;102 min;Drama;Paolo Sorrentino;Paolo Sorrentino;Giacomo Rizzo, Laura Chiatti, Gigi Angelillo;"Geremia, an aging tailor/money lender, is a repulsive, mean, stingy man who lives alone in his shabby house with his scornful, bedridden mother. He has a morbid, obsessive relationship with money and he uses it to insinuate himself into other people's affairs, pretending to be the ""family friend"". One day he is asked by a man to lend him money for the wedding of Rosalba, his daughter. Geremia falls in love at first sight with the bewitching creature and and soon indulges in a ""beauty and the beast"" relationship...";Italian;Italy, France;https://m.media-amazon.com/images/M/MV5BYTE4OTQ4ZWQtOWNhZi00ZTg0LWE0MDQtZGU5ZDJlM2RiYmVmXkEyXkFqcGdeQXVyMzIzNDU1NTY@._V1_SX300.jpg;7.01.2010;0,75;N/A;71;3,768;tt0772105;movie;N/A;N/A;N/A;N/A;DOÐRU;2;;16;
The Savages;2007;R;01 Feb 2008;113 min;Comedy, Drama;Tamara Jenkins;Tamara Jenkins;Laura Linney, Philip Seymour Hoffman, Philip Bosco;Jon and Wendy Savage are two siblings who have spent their adult years trying to recover from the abuse of their abusive father, Lenny Savage. Suddenly, a call comes in that his girlfriend has died, he cannot care for himself with his dementia and her family is dumping him on his children. Despite the fact Jon and Wendy have not spoken to Lenny for twenty years and he is even more loathsome than ever, the Savage siblings feel obliged to take care of him. Now together, brother and sister must come to terms with the new and painful responsibilities with their father now affecting their lives even as they struggle with their own personal demons Lenny helped create.;English, German, Cantonese;United States;https://m.media-amazon.com/images/M/MV5BMTU5NjMyMjk0OF5BMl5BanBnXkFtZTYwNzM4MDM4._V1_SX300.jpg;7.01.2010;0,9;85;71;36,848;tt0775529;movie;22 Apr 2008;$6,623,082;N/A;N/A;DOÐRU;17;85/100;33;2
Everybody's Fine;2009;PG-13;04 Dec 2009;99 min;Adventure, Drama;Kirk Jones;Kirk Jones, Giuseppe Tornatore, Tonino Guerra;Robert De Niro, Kate Beckinsale, Sam Rockwell;Frank Goode lives by himself in Elmira, NY, a recent widower with heart trouble, retired from a factory job, proud of having pushed his adult children toward success. In the summer, all four kids bail on a reunion, so, against doctor's orders, Frank decides to surprise each with a visit. He sets out to see his artist son in New York City, his daughter the ad exec in Chicago, his son the conductor on tour and presently in Denver, and his daughter who's a performer in Vegas. None are as he imagines or hopes. Will they let him see themselves as they are, and can this dad adapt?;English;United States;https://m.media-amazon.com/images/M/MV5BMTM1NzEwNzA5MV5BMl5BanBnXkFtZTcwNTE0NjAyMw@@._V1_SX300.jpg;7.01.2010;0,48;47;71;60,296;tt0780511;movie;23 Feb 2010;$9,208,876;N/A;N/A;DOÐRU;1;47/100;6;
The Good Heart;2009;R;17.Mar.10;99 min;Comedy, Drama;Dagur Kári;Dagur Kári;Paul Dano, Brian Cox, Bill Buell;After a suicide attempt, Lucas, a young homeless man in New York City, is taken in by Jacques, the gruff owner of a small bar. Jacques is on his fifth or sixth heart attack, and he wants Lucas to run the bar after he dies. Jacques has many rules: don't be friendly, don't serve walk-ins, no food or flowers or candles, put the cash in the freezer every night. Lucas, on the other hand, has a good heart: he gives his money away, he talks to customers, and, when April, a young French woman who has washed out of flight-attendant school, enters the bar chilled to the bone, Lucas takes her in. If Jacques won't tolerate April, what will Lucas do?;English, German;Iceland, Denmark, United States, France, Germany;https://m.media-amazon.com/images/M/MV5BMjE1MzgyNDM1OF5BMl5BanBnXkFtZTcwNDIzODIyMw@@._V1_SX300.jpg;6.09.2010;0,3;40;69;4,574;tt0808285;movie;11 Aug 2011;$20,930;N/A;N/A;DOÐRU;6;40/100;9;
Vratné lahve;2007;N/A;8.Mar.07;104 min;Comedy, Drama;Jan Sverák;Zdenek Sverák;Zdenek Sverák, Daniela Kolárová, Pavel Landovsk?;A comic love story about a man who refuses to accept that old age is empty of love, meaning and value to society.;Czech, German;Czech Republic, United Kingdom, Denmark;https://m.media-amazon.com/images/M/MV5BMjcxNDIzMDU1M15BMl5BanBnXkFtZTcwNDAxOTk4Mg@@._V1_SX300.jpg;7.03.2010;1;N/A;73;4,737;tt0809951;movie;13 Oct 2009;N/A;N/A;N/A;DOÐRU;10;;12;
Tôkyô tawâ: Okan to boku to, tokidoki, oton;2007;N/A;14 Apr 2007;142 min;Drama;Joji Matsuoka;Lily Franky, Suzuki Matsuo;Joe Odagiri, Kirin Kiki, Yayako Uchida;Leaving her alcoholic husband, Eiko takes their son Masaya away from Tokyo and back to her hometown in a Kyushu rural mining community. She toils to support him though many years of schooling even after he wastes his time while studying art in a Tokyo university. After graduation he struggles to find work and finally pulls his life together for his mother's sake, ultimately ending up with multiple jobs as an illustrator and even as the host of a sexually-themed talk show on radio. When Eiko becomes ill with cancer, Masaya invites her to live with him in back in Tokyo where the roles of support are reversed.;Japanese;Japan;https://m.media-amazon.com/images/M/MV5BMjNlM2ZhMGUtNTJkNS00MTcwLTkzN2UtNDRmNzQwNTA4Mzc5XkEyXkFqcGdeQXVyNTAwMTE0MzE@._V1_SX300.jpg;7.03.2010;;N/A;73;943;tt0820158;movie;N/A;N/A;N/A;N/A;DOÐRU;7;;8;
The Last Station;2009;R;26 Feb 2010;112 min;Biography, Drama, Romance;Michael Hoffman;Michael Hoffman, Jay Parini;Helen Mirren, James McAvoy, Christopher Plummer;The Countess Sofya Andreevna Tolstoy (Dame Helen Mirren), wife and muse to Leo Tolstoy (Christopher Plummer), uses every trick of seduction on her husband's loyal disciple, whom she believes was the person responsible for Tolstoy signing a new will that leaves his work and property to the Russian people.;English;United Kingdom, Germany, Russia;https://m.media-amazon.com/images/M/MV5BMTA4MTAzNTQzMDNeQTJeQWpwZ15BbWU3MDgzNTg2MDM@._V1_SX300.jpg;7.0/10;0,71;76;70;18,398;tt0824758;movie;22 Jun 2010;$6,617,867;N/A;N/A;DOÐRU;5;76/100;18;2
The Bucket List;2007;PG-13;11 Jan 2008;97 min;Adventure, Comedy, Drama;Rob Reiner;Justin Zackham;Jack Nicholson, Morgan Freeman, Sean Hayes;Corporate billionaire Edward Cole and working class mechanic Carter Chambers have nothing in common except for their terminal illnesses. While sharing a hospital room together, they decide to leave it and do all the things they have ever wanted to do before they die according to their bucket list. In the process, both of them heal each other, become unlikely friends, and ultimately find joy in life.;English;United States;https://m.media-amazon.com/images/M/MV5BMTY2NTUyMjIyNF5BMl5BanBnXkFtZTYwNzYwMDM4._V1_SX300.jpg;7.04.2010;0,41;42;74;238,712;tt0825232;movie;10 Jun 2008;$93,466,502;N/A;N/A;DOÐRU;3;42/100;4;
Summer Hours;2008;Not Rated;05 Jun 2009;103 min;Drama, Family;Olivier Assayas;Olivier Assayas;Juliette Binoche, Charles Berling, Jérémie Renier;In a small town, Hélène is a family matriarch who has devoted her life to preserving the legacy of her artist uncle. However, while her eldest son, Frédéric, wants to preserve her home after her passing, she harbors no such illusions as she prepares her legacy. After her death, her children realize what she anticipated as they come to terms with their inheritance's place in their own lives. In the resulting disposition of their mother's assets, treasured heirlooms of a romantic family past drift away even as their changing modern world confronts the value of their memories.;French, English;France;https://m.media-amazon.com/images/M/MV5BMTUxNjU0Njc0OV5BMl5BanBnXkFtZTcwNjcyNDY1Mg@@._V1_SX300.jpg;7.02.2010;0,94;85;72;7,534;tt0836700;movie;06 Oct 2009;$1,657,001;N/A;N/A;DOÐRU;8;85/100;23;
My Dog Tulip;2009;Not Rated;6.May.11;83 min;Animation, Drama;Paul Fierlinger, Sandra Fierlinger;J.R. Ackerley, Paul Fierlinger, Sandra Fierlinger;Christopher Plummer, Lynn Redgrave, Isabella Rossellini;The story of a man who rescues a German shepherd and how the two become fast friends.;English;United States;https://m.media-amazon.com/images/M/MV5BODM0MjMyMTUyOF5BMl5BanBnXkFtZTcwMjIwMTY3Mw@@._V1_SX300.jpg;6.09.2010;0,9;80;69;1,657;tt0843358;movie;07 Jun 2011;$246,574;N/A;N/A;DOÐRU;;80/100;2;
Prostye veshchi;2007;N/A;3.May.13;110 min;Comedy, Drama;Alexei Popogrebsky;Alexei Popogrebsky;Sergey Puskepalis, Leonid Bronevoy, Svetlana Kamynina;A dying actor asks a doctor to help him commit suicide in return for a masterpiece.;Russian;Russia;https://m.media-amazon.com/images/M/MV5BMTU2NjIyNzU1NF5BMl5BanBnXkFtZTcwMTk3MjY0Nw@@._V1_SX300.jpg;7.0/10;;N/A;70;454;tt0846069;movie;N/A;N/A;N/A;N/A;DOÐRU;20;;13;
Ilk Ask;2006;N/A;17 Nov 2006;120 min;Comedy, Drama;Nihat Durak;Volkan Sümbül, Emre Özdür;Çetin Tekindor, Vahide Perçin, Tarik Pabuccuoglu;A Turkish coastal town, in 1990: The unexpected visit of his long lost brother Asaf disturbs Azmi Arifoglu. 4o years ago Asaf was a prisoner of war, and Azmi managed to let him pronounce dead to marry his fiancée Nevin. After Nevin's decision to live with Asaf, Azmi feels his honor insulted. The conflict shakes the whole family. Meanwhile 13-year-old Arif falls in love with Bahar his age. An unexpected rival shows up and he gets jealous. But Bahar stands by him. When Bahar has to move far away, both are sad. But many years later they meet again, marry and become a little family.;Turkish;Turkey;https://m.media-amazon.com/images/M/MV5BMzc4NzQ1YTEtOGQ1NS00YzkxLTkxMjEtMjlkNjIyZTlkMTQ3XkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_SX300.jpg;6.08.2010;;N/A;68;1,377;tt0856791;movie;N/A;N/A;N/A;N/A;DOÐRU;5;;;
